TARID,protein_name,source_organism,Strain,UniProt_ID,PDB_ID,UniProt PubMed IDs,Function_GO_uniprot,Function_PDB
1339,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB (EC 3.5.1.-)",Lysobacter gummosus,,A0A0S2G4X4,--,26597042,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1340,Uncharacterized protein,Bordetella pertussis ,Strain ATCC 9797  /  DSM 5571  /  NCTC 10739  /  18323,A0A0T7CP04,--,23051057,Not Available,Not Available
1341,Ggdef domain protein,Thermodesulfovibrio yellowstonii ,Strain ATCC 51303  /  DSM 11347  /  YP87,B5YJP8,--,25635016,Diguanylate cyclase activity,Not Available
1342,Uncharacterized protein,Yersinia pestis bv. antiqua ,Strain Antiqua,A0A0E1NW62,--,16740952,Not Available,Not Available
1343,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Bordetella pertussis ,Strain ATCC 9797  /  DSM 5571  /  NCTC 10739  /  18323,A0A0T7CLJ6,--,23051057,Acetyl glucosaminyl transferase activity,Not Available
1344,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Adelaide Str. A4-669,A0A6C8GIJ5,--,21859443,Not Available,Not Available
1345,Surface composition regulator,Salmonella schwarzengrund ,Strain CVM19633,A0A0N1QW65,--,21602358,Not Available,Not Available
1346,Uncharacterized protein,Anaeromyxobacter spp. PSR-1,,A0A0D6QFE1,--,23709511,Not Available,Not Available
1347,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Shigella spp.,,A0A351P2X7,--,30148503,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1348,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Klebsiella pneumoniae,,A0A2L0KTV2,--,29437920,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1349,Uncharacterized protein,Gallionellales bacterium RBG_16_56_9,,A0A1G0CZQ4,--,27774985,Not Available,Not Available
1350,Hemin storage system protein,Enterobacter spp. DC4,,W7P486,--,24625871,Not Available,Not Available
1351,Uncharacterized protein,Ligilactobacillus apodemi ,DSM 16634 = JCM 16172,A0A0R1TQZ9,--,26415554,Not Available,Not Available
1352,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Enterobacter spp. DC4,,W7P4H8,--,24625871,Acetyl glucosaminyl transferase activity,Not Available
1353,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Xanthomonas axonopodis pv. citri ,Strain 306,Q8PLI7,--,12024217,Acetyl glucosaminyl transferase activity,Not Available
1354,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase (EC 3.5.1.-)",Enterobacter spp. DC4,,W7NUM0,--,24625871,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1355,mRNA interferase MqsR,Photorhabdus spp. S8-52,,A0A329WQK4,--,29877789,Not Available,Not Available
1356,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Hahella chejuensis ,Strain KCTC 2396,Q2SAS4,--,16352867,Acetyl glucosaminyl transferase activity,Not Available
1357,Predicted xylanase / chitin deacetylase,Hahella chejuensis ,Strain KCTC 2396,Q2SAS5,--,16352867,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds, Hydrolase activity,  acting on glycosyl bonds",Not Available
1358,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Nitrospiraceae bacterium,,A0A354A3Q8,--,30148503,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1359,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Nitrospiraceae bacterium,,A0A419J381,--,28644444,Not Available,Not Available
1360,Surface composition regulator,Salmonella gallinarum ,Strain 287 / 91  /  NCTC 13346,B5REF5,--,18583645,Not Available,Not Available
1361,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Nitrospiraceae bacterium,,A0A354A3Q7,--,30148503,Acetyl glucosaminyl transferase activity,Not Available
1362,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Nitrospiraceae bacterium,,A0A419J3A1,--,28644444,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1363,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Nitrospiraceae bacterium,,A0A354A3Q6,--,30148503,Not Available,Not Available
1364,RNA polymerase sigma factor FliA (RNA polymerase sigma factor for flagellar operon) (Sigma F) (Sigma-28),Salmonella typhimurium ,Strain 14028S  /  SGSC 2262,A0A0F6B2T8,--,19897643,"DNA binding, DNA-directed 5'-3' RNA polymerase activity, sigma factor activity",Not Available
1365,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Nitrospiraceae bacterium,,A0A419J3A6,--,28644444,Acetyl glucosaminyl transferase activity,Not Available
1366,PgaD protein,Escherichia coli ,Strain 55989  /  EAEC,B7LFD1,--,19165319,Not Available,Not Available
1367,Hypothetical lipoprotein YcdR,Escherichia coli O6:K15:H31 ,Strain 536  /  UPEC,A0A454A2Z0,--,16879640,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1368,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Thiotrichales bacterium SG8_50,,A0A0S8EMN7,--,25922666,Acetyl glucosaminyl transferase activity,Not Available
1369,Uncharacterized protein (Fragment),Rhodospirillales bacterium ,RIFCSPLOWO2_12_FULL_67_15,A0A1G3IPC8,--,27774985,Not Available,Not Available
1370,Uncharacterized protein,Escherichia coli O6:K15:H31 ,Strain 536  /  UPEC,A0A454A321,--,16879640,Not Available,Not Available
1371,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Lysobacter antibioticus,,A0A0S2FCT6,--,26597042,Acetyl glucosaminyl transferase activity,Not Available
1372,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Macrococcus bohemicus,,A0A328A4I7,--,29951040,Acetyl glucosaminyl transferase activity,Not Available
1373,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Macrococcus caseolyticus ,Strain JCSC5402,B9EAX5,--,19074389,Acetyl glucosaminyl transferase activity,Not Available
1374,Biofilm PGA synthesis lipoprotein PgaB,Paraburkholderia spp. BL8N3,,A0A4V2PL11,--,26203337,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1375,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Paraburkholderia spp. BL8N3,,A0A4R1IGQ8,--,26203337,Acetyl glucosaminyl transferase activity,Not Available
1376,Surface composition regulator,Citrobacter amalonaticus Y19,,A0A0F6RIS0,--,23377788,Not Available,Not Available
1377,"Toxin-antitoxin system,  toxin component",Burkholderiales bacterium RIFOXYD12_FULL_59_19,,A0A1F4MM23,--,27774985,Not Available,Not Available
1378,Type II toxin-antitoxin system MqsR family toxin,Agrobacterium salinitolerans,,A0A546WCU3,--,31273398,Not Available,Not Available
1379,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Lysobacter antibioticus,,A0A0S2FD23,--,26597042,Not Available,Not Available
1380,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB (EC 3.5.1.-)",Lysobacter antibioticus,,A0A0S2FCY0,--,26597042,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1381,Polysaccharide deacetylase,Xenorhabdus spp. KJ12.1,,A0A2D0LA49,--,28993611,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1382,Hemin storage protein,Stenotrophomonas maltophilia ,Pseudomonas maltophilia Xanthomonas maltophilia,A0A0K2IYF3,--,26324280,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1383,HmsS protein,Pseudomonas fluorescens WH6,,E2XJK0,--,20920191,Not Available,Not Available
1384,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Salmonella typhimurium,,A0A708ADF7,--,30286803,Not Available,Not Available
1385,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Pseudomonas fluorescens WH6,,E2XJJ9,--,20920191,Acetyl glucosaminyl transferase activity,Not Available
1386,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Aberdeen,A0A5I4KB90,--,30286803,Not Available,Not Available
1387,"Biofilm polysaccharide intercellular adhesin deacetylase (Intercellular adhesion protein B) (Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase)",Staphylococcus haemolyticus,,B8Y3Y6,--,19144798,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds,  in linear amides",Not Available
1388,"Haemin storage system,  HmsS protein",Yersinia enterocolitica ,type O:9 Str. YE56 / 03,A0A7U7FEY4,--,24753568,Not Available,Not Available
1389,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Staphylococcus haemolyticus,,B8Y3Y4,--,19144798,Acetyl glucosaminyl transferase activity,Not Available
1390,Biofilm operon icaADBC HTH-type negative Transcriptional regulator IcaR (Intercellular adhesion protein R),Staphylococcus haemolyticus,,B8Y3Y3,--,19144798,DNA binding,Not Available
1391,Uncharacterized protein,Yersinia enterocolitica ,type O:9 Str. YE56 / 03,A0A7U7FBJ4,--,24753568,Not Available,Not Available
1392,Intercellular adhesion protein C,Staphylococcus haemolyticus,,B8Y3Y7,--,19144798,"Acyltransferase activity,  transferring groups other than amino-acyl groups",Not Available
1393,Polysaccharide deacetylase,Pseudomonas fluorescens WH6,,E2XJJ8,--,20920191,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1394,Surface composition regulator,Salmonella enterica subspp. houtenae serovar ,"48:g, z51:-",A0A727TFY8,--,30286803,Not Available,Not Available
1395,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-) (Fragment)",Staphylococcus saprophyticus,,Q5YFS7,--,15472359,Acetyl glucosaminyl transferase activity,Not Available
1396,"Biofilm polysaccharide intercellular adhesin synthesis protein IcaD (Intercellular adhesion protein D) (Poly-beta-1, 6-N-acetyl-D-glucosamine synthesis protein IcaD)",Staphylococcus haemolyticus,,B8Y3Y5,--,19144798,Not Available,Not Available
1397,FucA,Streptococcus gordonii,,Q6QT50,--,15205427,Alpha-L-fucosidase activity,Not Available
1398,Uncharacterized protein,Pseudomonas fluorescens WH6,,E2XLZ9,--,20920191,Not Available,Not Available
1399,Motility quorum-sensing regulator MqsR,Pseudomonas fluorescens Q8r1-96,,I4JYJ9,--,22792073,Not Available,Not Available
1400,Uncharacterized protein,Acinetobacter oleivorans ,Strain JCM 16667  /  KCTC 23045  /  DR1,D3JTG6,--,20629796,Not Available,Not Available
1401,Putative biofilm PGA synthesis protein PgaD,Pseudomonas fluorescens Q8r1-96,,I4L127,--,22792073,Not Available,Not Available
1402,Biofilm PGA synthesis lipoprotein PgaB (EC 3.-.-.-),Pseudomonas fluorescens Q8r1-96,,I4KZS7,--,22792073,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1403,Surface composition regulator,Salmonella enterica subspp. salamae serovar 18:z10:z6,,A0A732CTX5,--,30286803,Not Available,Not Available
1404,SpsR,Serratia plymuthica,,C4PDW9,--,21284858,DNA binding,Not Available
1405,Surface composition regulator,Yersinia enterocolitica ,Type O:9 Str. YE56 / 03,A0A7U7IP11,--,24753568,"DNA binding, DNA-directed DNA polymerase activity",Not Available
1406,"Haemin storage system,  HmsF protein",Yersinia enterocolitica ,Type O:9 Str. YE56 / 03,A0A7U7FEF6,--,24753568,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1407,Surface composition regulator,Salmonella typhimurium,,A0A3Z1VB25,--,30286803,Not Available,Not Available
1408,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Yersinia enterocolitica ,Type O:9 Str. YE56 / 03,A0A7U7FED0,--,24753568,Acetyl glucosaminyl transferase activity,Not Available
1409,Surface composition regulator,Salmonella typhimurium,,A0A709Z2J5,--,30286803,Not Available,Not Available
1410,"Biofilm polysaccharide intercellular adhesin synthesis protein IcaD (Intercellular adhesion protein D) (Poly-beta-1, 6-N-acetyl-D-glucosamine synthesis protein IcaD)",Staphylococcus caprae,,Q9AIQ7,--,11159959,Not Available,Not Available
1411,Surface composition regulator,Salmonella bongori serovar ,44:r:-,A0A702BVU7,--,30286803,Not Available,Not Available
1412,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB (EC 3.5.1.-)",Salmonella typhimurium,,A0A708AH06,--,30286803,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1413,Biofilm operon icaADBC HTH-type negative Transcriptional regulator IcaR (Intercellular adhesion protein R),Staphylococcus caprae,,Q9AIQ9,--,11159959,DNA binding,Not Available
1414,IcaA (Fragment),Staphylococcus cohnii,,Q83ZI1,--,12957956,Not Available,Not Available
1415,Surface composition regulator,Salmonella enterica subspp. salamae serovar ,58:a:-,A0A701W280,--,30286803,Not Available,Not Available
1416,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Staphylococcus caprae,,Q9AIQ8,--,11159959,Acetyl glucosaminyl transferase activity,Not Available
1417,Outer membrane N-deacetylase,Pseudomonas moraviensis R28-S,,V8RE08,--,24558233,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1418,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Salmonella typhimurium,,A0A708A923,--,30286803,Acetyl glucosaminyl transferase activity,Not Available
1419,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Aggregatibacter actinomycetemcomitans ,Actinobacillus actinomycetemcomitans Haemophilus actinomycetemcomitans,Q5VJB2,--,15576769,Acetyl glucosaminyl transferase activity,Not Available
1420,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Actinobacillus pleuropneumoniae ,Haemophilus pleuropneumoniae,Q5QFG3,--,15576769,Acetyl glucosaminyl transferase activity,Not Available
1421,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Aggregatibacter actinomycetemcomitans ,Actinobacillus actinomycetemcomitans Haemophilus actinomycetemcomitans,A5HJW9,--,17851029,Acetyl glucosaminyl transferase activity,Not Available
1422,"Biofilm polysaccharide intercellular adhesin deacetylase (Intercellular adhesion protein B) (Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase)",Staphylococcus caprae,,Q9AIQ6,--,11159959,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds,  in linear amides",Not Available
1423,Toxin CdiA,Neisseria meningitidis,,C0KXJ0,--,19289515,Toxin activity,Not Available
1424,Acyl-homoserine-lactone synthase (EC 2.3.1.184) (Autoinducer synthesis protein),Ensifer adhaerens ,Sinorhizobium morelense,K4K1V0,--,23090571,N-acyl homoserine lactone synthase activity,Not Available
1425,Putative membrane protein,Bordetella bronchiseptica ,Strain ATCC BAA-588  /  NCTC 13252  /  RB50 AlcaligeneS bronchiSepticuS,A0A0H3LTS4,--,12910271,Not Available,Not Available
1426,Toxin CdiA,Neisseria meningitidis,,C0KXI6,--,19289515,toxin activity,Not Available
1427,Toxin CdiA,Neisseria meningitidis,,C0KXI4,--,19289515,toxin activity,Not Available
1428,Uncharacterized protein,Cupriavidus oxalaticus,,Q84ES5,--,12902278,Not Available,Not Available
1429,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Oslo,A0A5I0WQX2,--,30286803,Not Available,Not Available
1430,Acyl-homoserine-lactone synthase (EC 2.3.1.184) (Autoinducer synthesis protein),Ensifer adhaerens ,Sinorhizobium morelense,K4KF64,--,23090571,N-acyl homoserine lactone synthase activity,Not Available
1431,Uncharacterized protein,Cupriavidus necator ,Alcaligenes eutrophus Ralstonia eutropha,Q9ZAL5,--,9887305,Not Available,Not Available
1432,Acyl-homoserine-lactone synthase (EC 2.3.1.184) (Autoinducer synthesis protein),Ensifer adhaerens ,Sinorhizobium morelense,K4K584,--,23090571,N-acyl homoserine lactone synthase activity,Not Available
1433,Surface composition regulator,Salmonella enterica ,Salmonella choleraesuis,A0A750KGM0,--,30286803,Not Available,Not Available
1434,Surface composition regulator,Salmonella enterica ,Salmonella choleraesuis,A0A753AFU1,--,30286803,Not Available,Not Available
1435,Metal-binding permease,Streptococcus gordonii ,Str. Challis,Q842E9,--,12700268,zinc ion binding,Not Available
1436,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Bordetella bronchiseptica ,Strain ATCC BAA-588  /  NCTC 13252  /  RB50 Alcaligenes bronchisepticus,A0A0H3LKJ5,--,12910271,Acetyl glucosaminyl transferase activity,Not Available
1437,Surface composition regulator,Salmonella enterica ,Salmonella choleraesuis,A0A702CJE0,--,30286803,Not Available,Not Available
1438,Surface composition regulator,Salmonella moscow,,A0A5H7LB63,--,30286803,Not Available,Not Available
1439,Surface composition regulator,Salmonella typhimurium,,A0A735I5S7,--,30286803,Not Available,Not Available
1440,Surface composition regulator,Salmonella newport,,A0A3V7UC64,--,30286803,Not Available,Not Available
1441,Surface composition regulator,Escherichia coli,,C3SU77,--,19439656,Not Available,Not Available
1442,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Escherichia coli,,C3TEV2,--,19439656,Acetyl glucosaminyl transferase activity,Not Available
1443,MrkA,Escherichia coli,,B0LHG5,--,18055599; 19717626,Not Available,Not Available
1444,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Corvallis,A0A4U7YCJ9,--,30286803,Not Available,Not Available
1445,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Rissen,A0A5H7QG39,--,30286803,Not Available,Not Available
1446,IcaA (Fragment),Staphylococcus saprophyticus,,Q83TU9,--,12957956,Not Available,Not Available
1447,Surface composition regulator,Salmonella typhi,,A0A4U8GBI9,--,30286803,Not Available,Not Available
1448,Acyl-homoserine-lactone synthase (EC 2.3.1.184) (Autoinducer synthesis protein),Pseudomonas putida ,Arthrobacter siderocapsulatus,Q8GEM0,--,12450862; 15345437; 16585751,N-acyl homoserine lactone synthase activity,Not Available
1449,Surface composition regulator,Salmonella enterica ,Salmonella choleraesuis,A0A750MQQ2,--,30286803,Not Available,Not Available
1450,Surface composition regulator,Salmonella abortus-equi,,A0A738E8L1,--,30286803,Not Available,Not Available
1451,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Brandenburg,A0A5I9JE21,--,30286803,Not Available,Not Available
1452,MrkD,Escherichia coli,,B0LHG8,--,18055599; 19717626,Not Available,Not Available
1453,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Paratyphi C,A0A6Y5YMH6,--,30286803,Not Available,Not Available
1454,MrkC,Escherichia coli,,B0LHG7,--,18055599; 19717626,Fimbrial usher porin activity,Not Available
1455,SLATT_6 domain-containing protein,Escherichia coli,,B0LHG1,--,18055599; 19717626,Not Available,Not Available
1456,Surface composition regulator,Salmonella typhimurium ,Strain SL1344,A0A718QE43,--,30286803,Not Available,Not Available
1457,AGS_C domain-containing protein,Escherichia coli,,B0LHG2,--,18055599; 19717626,Nucleotidyltransferase activity,Not Available
1458,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Staphylococcus capitis,,G4Y1I6,--,23052315,Acetyl glucosaminyl transferase activity,Not Available
1459,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Choleraesuis,A0A5I8Q4H1,--,30286803,Not Available,Not Available
1460,AagD (PgaD),Aggregatibacter actinomycetemcomitans ,Actinobacillus actinomycetemcomitans Haemophilus actinomycetemcomitans,Q5VJB1,--,15576769; 17851029,Not Available,Not Available
1461,Surface composition regulator,Salmonella enterica subspp. salamae serovar 48:d:z6,,A0A729JLQ4,--,30286803,Not Available,Not Available
1462,Acyl-homoserine-lactone synthase (EC 2.3.1.184) (Autoinducer synthesis protein),Edwardsiella tarda,,Q60HM1,--,16233705; 19283379,N-acyl homoserine lactone synthase activity,Not Available
